City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
119,vernon,50.2581,-119.2691,22.74,28,73,2.24,CA,1724882678
120,thompson,55.7435,-97.8558,22.09,49,40,5.66,CA,1724882679
121,solnechnyy,50.7214,136.6319,17.08,94,100,2.85,RU,1724882680
122,sao jose da coroa grande,-8.8978,-35.1478,23.97,79,45,5.7,BR,1724882681
123,yemva,62.59,50.8594,10.1,74,70,2.33,RU,1724882682
124,urucara,-2.5364,-57.76,30.29,43,95,0.26,BR,1724882683
125,naze,28.3667,129.4833,26.51,88,99,6.81,JP,1724882686
126,sisimiut,66.9395,-53.6735,5.2,93,100,5.28,GL,1724882687
127,steti,50.453,14.3742,24.33,68,62,2.12,CZ,1724882688
128,geraldton,-28.7667,114.6,19.23,77,8,5.66,AU,1724882689
129,haiku-pauwela,20.9219,-156.3051,28.47,79,75,9.77,US,1724882691
130,bage,-31.3314,-54.1069,14.88,72,0,5.66,BR,1724882692
131,papatowai,-46.5619,169.4708,11.17,63,29,7.03,NZ,1724882693
132,umm kaddadah,13.6017,26.6876,28.02,60,100,4.69,SD,1724882696
133,crucecita,-28.95,-58.9833,17.53,64,33,2.87,AR,1724882697
134,conception bay south,47.4999,-52.9981,20.41,86,97,7.33,CA,1724882661
135,nuuk,64.1835,-51.7216,7.34,93,100,2.57,GL,1724882620
136,newman,37.3138,-121.0208,40.16,9,0,1.37,US,1724882259
137,west island,-12.1568,96.8225,25.99,78,94,6.17,CC,1724882701
138,loa janan,-0.583,117.095,22.86,98,100,0.74,ID,1724882702
139,luderitz,-26.6481,15.1594,11.65,63,0,12.38,NA,1724882703
140,mugumu,-1.85,34.7,19.14,60,13,1.7,TZ,1724882705
141,canto do buriti,-8.11,-42.9444,27.79,28,62,2.87,BR,1724882650
142,dryden,49.7833,-92.7503,22.16,46,0,4.63,CA,1724882707
143,tiksi,71.6872,128.8694,2.52,83,84,4.28,RU,1724882708
144,bathsheba,13.2167,-59.5167,28.51,77,24,4.08,BB,1724882709
145,ravar,31.2656,56.8055,28.29,17,0,2.19,IR,1724882710
146,lebu,-37.6167,-73.65,9.69,77,0,8.4,CL,1724882711
147,valdivia,-39.8142,-73.2459,14.05,75,0,2.49,CL,1724882543
148,chokwe,-24.5333,32.9833,21.99,71,75,6.81,MZ,1724882713
149,tahe,52.3333,124.7333,12.45,77,34,1.79,CN,1724882715
150,yuzhno-kurilsk,44.0306,145.8556,18.51,98,100,1.57,RU,1724882716
151,dikwa,12.024,13.9165,24.37,86,92,4.71,NG,1724882717
152,enriquillo,17.9,-71.2333,29.04,70,4,3.79,DO,1724882718
153,queenstown,-31.8976,26.8753,1.15,58,3,2.01,ZA,1724882719
154,tolanaro,-25.0319,46.9987,19.96,81,0,6.91,MG,1724882721
155,bonthe,7.5264,-12.505,23.79,95,100,3.83,SL,1724882723
156,kavaratti,10.5669,72.642,27.04,86,100,6.62,IN,1724882724
157,magadan,59.5667,150.8,9.47,56,57,3.97,RU,1724882725
158,gao,16.6362,1.637,30.43,51,100,3.84,ML,1724882726
159,buala,-8.145,159.5921,27.25,80,100,4.0,SB,1724882728
160,kapa'a,22.0752,-159.319,28.18,70,100,6.17,US,1724882729
161,st. john's,47.5649,-52.7093,20.54,83,75,8.23,CA,1724882730
162,zhaotong,27.3167,103.7167,18.42,86,6,0.37,CN,1724882732
163,aykhal,66.0,111.5,6.4,78,100,0.42,RU,1724882734
164,burnie,-41.0667,145.9167,9.05,71,40,7.2,AU,1724882735
165,saudarkrokur,65.7461,-19.6394,5.91,96,100,4.02,IS,1724882736
166,port elizabeth,-33.918,25.5701,9.16,79,100,8.75,ZA,1724882702
167,lautoka,-17.6167,177.4667,24.92,61,40,1.54,FJ,1724882738
168,yurgamysh,55.3714,64.4656,16.66,88,97,6.02,RU,1724882739
169,alexandria,31.2156,29.9553,27.08,70,0,3.03,EG,1724882542
170,nogliki,51.8333,143.1667,17.1,88,100,3.46,RU,1724882742
171,ciudad bolivar,8.1222,-63.5497,29.92,65,91,0.71,VE,1724882743
172,stanley,54.868,-1.6985,14.04,86,75,4.02,GB,1724882744
173,atafu village,-8.5421,-172.5159,28.25,74,0,7.19,TK,1724882745
174,trinidad,-14.8333,-64.9,29.99,39,8,0.0,BO,1724882746
175,forster,-32.1667,152.5167,19.6,70,5,4.89,AU,1724882747
176,al muwayh,22.4333,41.7583,31.23,37,56,6.77,SA,1724882748
177,qaqortoq,60.7167,-46.0333,5.92,99,100,5.41,GL,1724882749
178,nhamunda,-2.1861,-56.7131,30.84,40,33,0.54,BR,1724882584
179,kingston,17.997,-76.7936,31.53,74,75,6.17,JM,1724882695
180,potiskum,11.7091,11.0694,24.4,84,99,3.53,NG,1724882753
181,hilo,19.7297,-155.09,28.95,82,75,5.14,US,1724882754
182,kismayo,-0.3582,42.5454,24.55,85,74,5.55,SO,1724882755
183,tabou,4.423,-7.3528,23.26,92,100,2.68,CI,1724882756
184,barabinsk,55.3571,78.357,11.81,92,7,2.39,RU,1724882757
185,vila franca do campo,37.7167,-25.4333,23.23,64,23,1.91,PT,1724882758
186,karangampel,-6.4622,108.4519,25.14,69,100,2.85,ID,1724882759
187,palmer,42.1584,-72.3287,29.73,62,90,2.28,US,1724882273
188,sola,-13.8833,167.55,26.37,69,100,2.57,VU,1724882762
189,kapuskasing,49.4169,-82.4331,17.0,51,40,3.6,CA,1724882763
190,kailua-kona,19.6406,-155.9956,29.22,77,20,4.63,US,1724882764
191,kimbe,-5.5502,150.1429,27.95,74,56,1.49,PG,1724882765
192,mantua,45.1667,10.7833,24.99,79,3,0.55,IT,1724882615
193,benguela,-12.5763,13.4055,20.52,87,100,1.63,AO,1724882767
194,kotabumi,-4.8333,104.9,23.58,84,100,2.1,ID,1724882768
195,kabare,-2.4683,28.8242,17.71,84,73,0.88,CD,1724882769
196,zouerate,22.7187,-12.4521,33.12,17,4,8.48,MR,1724882770
197,sandakan,5.8402,118.1179,23.82,100,20,0.51,MY,1724882772
198,pangody,65.85,74.4859,11.43,90,61,3.93,RU,1724882773
199,ringkobing,56.0901,8.244,16.99,88,14,3.6,DK,1724882774
200,mbanza kongo,-6.267,14.2401,20.92,75,46,3.29,AO,1724882775
201,arak,34.0917,49.6892,23.75,30,3,2.18,IR,1724882776
202,guangyuan,32.442,105.823,23.76,89,99,1.95,CN,1724882577
203,yelizovo,53.1873,158.3805,18.08,55,0,6.0,RU,1724882779
204,port mathurin,-19.6833,63.4167,21.79,70,58,13.69,MU,1724882780
205,turiacu,-1.6633,-45.3717,25.04,86,100,2.33,BR,1724882775
206,enewetak,11.3474,162.3373,28.85,75,100,4.49,MH,1724882782
207,bandundu,-3.3167,17.3667,28.31,40,1,1.34,CD,1724882783
208,bir el hafey,34.9321,9.1932,23.48,60,60,1.6,TN,1724882784
209,kodiak,57.79,-152.4072,11.73,82,100,0.0,US,1724882785
210,iskateley,67.6803,53.1512,8.52,82,94,7.17,RU,1724882786
211,acarau,-2.8856,-40.12,25.48,81,42,8.15,BR,1724882788
212,fort stockton,30.894,-102.8793,33.98,30,20,0.45,US,1724882776
213,bereeda,11.8704,51.0579,29.76,66,100,2.64,SO,1724882791
214,bredasdorp,-34.5322,20.0403,4.66,72,64,4.0,ZA,1724882792
215,coahuayana de hidalgo,18.7,-103.6583,29.3,77,100,1.9,MX,1724882793
216,salalah,17.0151,54.0924,25.05,100,100,1.03,OM,1724882794
217,inhambane,-23.865,35.3833,22.41,93,0,3.5,MZ,1724882796
218,siuntio,60.1386,24.2272,15.36,90,100,2.45,FI,1724882797
219,kilindoni,-7.9139,39.6668,25.18,77,62,7.99,TZ,1724882798
220,inari,68.906,27.0288,11.48,79,75,2.44,FI,1724882799
221,la ronge,55.1001,-105.2842,25.12,35,75,4.63,CA,1724882497
222,cooma,-36.2333,149.1333,6.77,50,34,1.68,AU,1724882801
223,renton,47.4829,-122.2171,22.66,53,20,5.36,US,1724882802
224,flying fish cove,-10.4217,105.6791,23.82,83,75,5.14,CX,1724882803
225,weno,7.4515,151.8468,26.97,89,100,3.6,FM,1724882347
226,machico,32.7,-16.7667,25.0,64,20,4.63,PT,1724882355
227,lata,40.1629,-8.3327,16.13,98,83,0.39,PT,1724882807
228,happy valley-goose bay,53.3168,-60.3315,17.17,55,75,5.66,CA,1724882623
229,utrik,11.2278,169.8474,28.28,74,55,3.13,MH,1724882809
230,fort dodge,42.4975,-94.168,29.44,63,40,3.6,US,1724882810
231,kani keli,-12.9536,45.1033,23.59,71,2,3.12,YT,1724882811
232,lammi,61.0833,25.0167,12.25,91,49,2.26,FI,1724882812
233,dolores,-36.3132,-57.6792,9.34,83,54,3.32,AR,1724882813
234,touros,-5.1989,-35.4608,24.42,78,83,7.43,BR,1724882814
235,mendefera,14.8872,38.8153,16.35,92,97,2.2,ER,1724882815
236,moratalla,38.1893,-1.8918,23.14,65,4,2.03,ES,1724882817
237,east london,-33.0153,27.9116,11.48,49,1,9.41,ZA,1724882818
238,moab,38.5733,-109.5498,34.78,16,11,0.45,US,1724882819
239,jieshi,22.8134,115.8257,27.78,85,100,1.43,CN,1724882820
240,barranca,-10.75,-77.7667,17.18,78,37,4.82,PE,1724882821
241,tebessa,35.4042,8.1242,21.79,64,78,0.78,DZ,1724882822
242,cabo san lucas,22.8909,-109.9124,32.09,57,0,6.71,MX,1724882351
243,novyy chirkey,43.162,47.0559,23.55,66,67,5.77,RU,1724882824
